date,open,high,low,close,volume
02/03/2023,"32.34","33.11","32.10","32.66","106,431"
02/02/2023,"32.78","33.09","32.37","32.70","63,643"
02/01/2023,"32.49","32.87","31.85","32.41","76,341"
01/31/2023,"31.22","32.46","31.22","32.42","89,283"
01/30/2023,"31.14","31.35","30.68","31.10","63,426"
01/27/2023,"31.41","31.67","31.19","31.29","39,754"
01/26/2023,"31.00","31.53","30.70","31.49","48,032"
01/25/2023,"30.70","30.85","30.34","30.85","47,721"
01/24/2023,"31.73","31.73","30.71","30.85","98,668"
01/23/2023,"30.72","31.23","30.37","30.65","68,057"
01/20/2023,"30.61","30.77","30.11","30.57","63,509"
01/19/2023,"29.76","30.48","29.51","30.37","52,384"
01/18/2023,"30.76","30.90","30.06","30.11","53,969"
01/17/2023,"30.33","31.24","30.33","30.56","77,564"
01/13/2023,"30.08","30.44","29.80","30.27","74,651"
01/12/2023,"30.72","30.72","30.06","30.21","68,553"
01/11/2023,"30.33","30.75","30.06","30.36","58,068"
01/10/2023,"29.00","30.29","29.00","30.23","62,807"
01/09/2023,"30.09","30.32","29.25","29.27","82,537"
01/06/2023,"29.26","30.30","29.08","30.03","67,423"
01/05/2023,"29.07","29.15","28.35","28.94","139,026"
01/04/2023,"28.72","29.33","28.56","29.13","82,728"
01/03/2023,"27.60","28.62","27.60","28.56","161,646"
12/30/2022,"27.54","27.89","27.35","27.54","85,924"
12/29/2022,"27.18","27.70","27.01","27.63","75,660"
12/28/2022,"27.19","27.72","27.10","27.20","135,788"
12/27/2022,"27.51","27.51","26.85","27.14","52,903"
12/23/2022,"27.00","27.71","27.00","27.47","87,747"
12/22/2022,"26.95","27.30","26.43","27.30","89,399"
12/21/2022,"26.95","27.68","26.95","27.17","134,114"
12/20/2022,"26.49","27.29","26.15","26.96","176,691"
12/19/2022,"27.51","27.51","26.48","26.65","157,927"
12/16/2022,"25.78","27.84","25.76","27.61","340,750"
12/15/2022,"25.64","26.05","25.05","25.82","153,588"
12/14/2022,"26.29","26.90","25.63","25.87","184,808"
12/13/2022,"25.11","26.79","25.04","26.35","275,359"
12/12/2022,"24.48","24.48","24.03","24.21","77,859"
12/09/2022,"24.40","25.24","24.18","24.52","67,913"
12/08/2022,"25.04","25.27","24.17","24.44","88,412"
12/07/2022,"24.46","25.19","24.44","25.04","137,643"
12/06/2022,"24.51","24.56","24.15","24.52","102,122"
12/05/2022,"25.01","25.14","24.28","24.52","120,310"
12/02/2022,"24.83","25.74","24.26","25.01","143,878"
12/01/2022,"25.14","25.20","23.75","24.79","169,007"
11/30/2022,"23.70","25.20","22.86","25.15","145,120"
11/29/2022,"24.02","24.17","23.60","23.69","73,991"
11/28/2022,"24.20","24.21","23.65","23.94","84,525"
11/25/2022,"24.02","24.64","23.91","24.21","51,102"
11/23/2022,"24.03","24.36","23.82","24.14","48,886"
11/22/2022,"23.98","24.31","23.66","23.95","54,895"
11/21/2022,"24.15","24.21","23.41","23.88","85,460"
11/18/2022,"25.21","25.21","23.91","24.07","79,366"
11/17/2022,"24.54","25.15","24.50","24.79","53,911"
11/16/2022,"25.25","25.25","24.54","24.74","109,624"
11/15/2022,"25.27","25.59","24.88","25.29","58,841"
11/14/2022,"25.35","25.65","24.78","24.83","63,657"
11/11/2022,"26.01","26.01","25.07","25.40","113,860"
11/10/2022,"25.51","26.31","25.30","25.96","107,190"
11/09/2022,"25.79","25.82","24.40","24.43","124,713"
11/08/2022,"24.86","26.60","24.86","26.14","218,908"
11/07/2022,"24.01","24.86","23.61","24.81","136,856"
11/04/2022,"23.67","24.05","22.76","24.00","182,634"
